option_type,mnes,rows,days,max_moneyness_dev
bear_put_spread,0.995/1,952,952,0.0050000000000000044
bull_call_spread,1/1.005,953,953,0.004999999999999893
call_ratio_spread,1/1.005,953,953,0.004999999999999893
iron_condor,0.995/0.997/1.003/1.005,953,953,0.0050000000000000044
put_ratio_spread,0.995/1,952,952,0.0050000000000000044
risk_reversal,0.995/1.005,953,953,0.0050000000000000044
strangle,0.995/1.005,953,953,0.0050000000000000044
